,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FY,MatchWinner,halftimeWinner,FT_Point,FT_Winner,FT_Draw,FT_Loss,HT_Winner,HT_Draw,HT_Loss,Target_Home%,Target_Away%,Manager,Home_Win,Away_Win,Home_Loss,Away_Loss,Home_Draw,Away_Draw,Diff_Score
9,2009-08-16,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0,FY0910,Tottenham,Tottenham,0,0,0,1,0,0,1,64.71,50.0,Rafael Benítez,0,0,0,1,0,0,-1
15,2009-08-19,Liverpool,Stoke,4,0,H,2,0,H,P Walton,18,6,13,3,10,9,11,5,0,1,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,72.22,50.0,Rafael Benítez,1,0,0,0,0,0,4
25,2009-08-24,Liverpool,Aston Villa,1,3,A,0,2,A,M Atkinson,21,7,12,4,15,11,10,4,3,2,0,0,FY0910,Aston Villa,Aston Villa,0,0,0,1,0,0,1,57.14,57.14,Rafael Benítez,0,0,1,0,0,0,-2
27,2009-08-29,Bolton,Liverpool,2,3,A,1,1,D,A Wiley,8,26,5,14,14,7,5,11,3,1,1,0,FY0910,Liverpool,draw,3,1,0,0,0,1,1,62.5,53.85,Rafael Benítez,0,1,0,0,0,0,1
37,2009-12-09,Liverpool,Burnley,4,0,H,2,0,H,L Mason,27,6,16,3,8,10,7,5,0,2,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,59.26,50.0,Rafael Benítez,1,0,0,0,0,0,4
51,2009-09-19,West Ham,Liverpool,2,3,A,2,2,D,A Marriner,8,19,5,15,13,17,4,4,3,3,0,0,FY0910,Liverpool,draw,3,1,0,0,0,1,1,62.5,78.95,Rafael Benítez,0,1,0,0,0,0,1
59,2009-09-26,Liverpool,Hull,6,1,H,2,1,H,P Walton,22,7,14,3,10,3,13,2,1,4,0,0,FY0910,Liverpool,Liverpool,3,1,0,0,1,0,0,63.64,42.86,Rafael Benítez,1,0,0,0,0,0,5
72,2009-04-10,Chelsea,Liverpool,2,0,H,0,0,D,M Atkinson,12,12,8,3,14,17,5,8,1,1,0,0,FY0910,Chelsea,draw,0,0,0,1,0,1,1,66.67,25.0,Rafael Benítez,0,0,0,1,0,0,-2
82,2009-10-17,Sunderland,Liverpool,1,0,H,1,0,H,M Jones,13,15,7,6,20,17,1,7,2,1,0,0,FY0910,Sunderland,Sunderland,0,0,0,1,0,0,1,53.85,40.0,Rafael Benítez,0,0,0,1,0,0,-1
93,2009-10-25,Liverpool,Man United,2,0,H,0,0,D,A Marriner,11,7,6,5,20,11,5,1,2,3,1,1,FY0910,Liverpool,draw,3,1,0,0,0,1,1,54.55,71.43,Rafael Benítez,1,0,0,0,0,0,2
100,2009-10-31,Fulham,Liverpool,3,1,H,1,1,D,L Mason,10,6,6,3,10,13,2,2,1,0,0,2,FY0910,Fulham,draw,0,0,0,1,0,1,1,60.0,50.0,Rafael Benítez,0,0,0,1,0,0,-2
